Line;Chinese;Pinyin;Translation;NumberOfWords
193;秋天时叶子变黄;qiu1 tian1 shi2 ye4 zi bian4 huang2 ;The leaves turn yellow in autumn.;7
194;再见,旅途愉快;zai4 jian4 lu:3 tu2 yu2 kuai4 ;Good-bye, and have a nice journey.;7
195;在米饭上撒点盐;zai4 mi3 fan4 shang4 sa3 dian3 yan2! ;Sprinkle a little salt on the rice.;7
196;人们正排队买票;ren2 men zheng4 pai2 dui4 mai3 piao4 ;People are queuing to buy tickets.;7
197;他一紧张就结巴;ta1 yi1 jin3 zhang1 jiu4 jie2 ba1 ;He stammers when he feels nervous.;7
198;月球绕地球运行;yue4 qiu2 rao4 di4 qiu2 yun4 xing2 ;The moon revolves around the earth.;7
199;大蕉类似于香蕉;da4 jiao1 lei4 si4 yu2 xiang1 jiao1 ;A plantain is similar to a banana.;7
200;探照灯扫过天空;tan4 zhao4 deng1 sao4 guo4 tian1 kong1 ;Searching lights traversed the sky.;7
201;他渴望回到故乡;ta1 ke3 wang4 hui2 dao4 gu4 xiang4 ;He yearned to return to his native land.;7
202;孩子们盼望放假;hai2 zi men pan4 wang4 fang4 jia4! ;The children are longing for the holidays.;7
203;桌上有个水果盘;zhuo1 shang4 you3 ge4 shui3 guo3 pan2 ;There is a fruit bowl on the table.;7
204;山顶上终年积雪;shan1 ding3 shang4 zhong1 nian2 ji1 xue3 ;The mountain peaks are covered with snow all year.;7
205;哦,也许我错了;o2 ye3 xu3 wo3 cuo4 le ;Oh, maybe I was wrong.;7
206;他渴望拥有权力;ta1 ke3 wang4 yong1 you3 quan2 li4 ;He was thirsty for power.;7
207;吵闹声使他烦躁;chao3 nao4 sheng1 shi3 ta1 fan2 zao4 ;The loud noise chafed him.;7
208;青蛙跳进了沟里;qing1 wa1 tiao4 jin4 le gou1 li3 ;The frog jumped into the ditch.;7
209;父辈应当被尊重;fu4 bei4 ying1 dang1 bei4 zun1 zhong4 ;A sire should be respected.;7
210;真是倒霉的日子;zhen1 shi4 dao3 mei2 de ri4 zi ;It's just been one of those days.;7
211;她匆匆赶往机场;ta1 cong1 cong1 gan3 wang4 ji1 chang3 ;She hurried to the airport.;7
212;她一辈子搞戏剧;ta1 yi1 bei4 zi gao3 xi4 ju4 ;She is been in the theater all her life.;7
213;我喜欢戴银首饰;wo3 xi3 huan dai4 yin2 shou3 shi4 ;I like to wear argentine jewellery.;7
214;炮兵部署在西边;pao4 bing1 bu4 shu3 zai4 xi1 bian1! ;Artillery was deployed in the west.;7
215;有炸鸡肉作晚餐;you3 zha4 ji1 rou4 zuo4 wan3 can1 ;There was fried chicken for dinner.;7
216;他们衷心欢迎他;ta1 men zhong1 xin1 huan1 ying2 ta1 ;They gave him a hearty welcome.;7
217;金属遇热则膨胀;jin1 shu3 yu4 re4 ze2 peng2 zhang4 ;Metals expand when they are heated.;7
218;鼓声平稳而缓慢;gu3 sheng1 ping2 wen3 er2 huan3 man4 ;The beats of the drum were steady and slow.;7
219;汗从毛孔中渗出;han4 zong4 mao2 kong3 zhong4 shen4 chu1! ;Sweat exudes through the pores.;7
220;牛奶可制成凝乳;niu2 nai3 ke3 zhi4 cheng2 ning2 ru3 ;Milk can be made into curds.;7
221;空气中烟雾弥漫;kong1 qi4 zhong4 yan1 wu4 mi2 man4 ;The air was thick with smoke.;7
222;他发誓永远爱她;ta1 fa1 shi4 yong3 yuan3 ai4 ta1 ;He swore to love her for evermore.;7
223;尸体躺在血泊中;shi1 ti3 tang3 zai4 xue4 bo2 zhong.4 ;The body was lying in a pool of blood.;7
224;花发出一阵幽香;hua1 fa1 chu1 yi1 zhen4 you1 xiang1 ;The flowers gave off a fragrant odor.;7
225;世界上有七大洲;shi4 jie4 shang4 you3 qi1 da4 zhou1 ;There are seven continents in the world.;7
226;水由氢和氧组成;shui3 you2 qing1 huo4 yang3 zu3 cheng2 ;Water is composed of hydrogen and oxygen.;7
227;接着怎么样了?;jie1 zhe zen3 me yang4 le? ;What happened then?;7
228;我说清楚了吗?;wo3 shuo1 qing1 chu le ma? ;Am I making myself clear?;7
229;你做什么工作？;ni3 zuo4 shen2 me gong1 zuo4? ;What's your job?;7
230;猪已喂过了吗?;zhu1 yi3 wei4 guo4 le ma? ;Have the pigs been fed yet?;7
231;你懂挪威语吗？;ni3 dong3 nuo2 wei1 yu4 ma?! ;Do you know Norwegian?;7
232;这是谁的钢笔？;zhe4 shi4 shei2 de gang1 bi3? ;Whose pen is this?;7
233;你要橘子水吗?;ni3 yao4 ju2 zi shui3 ma? ;Would you like some orange?;7
234;你觉得怎么样？;ni3 jue2 de zen3 me yang4? ;What do you think of it?;7
235;你赚了多少钱？;ni3 zuan4 le duo1 shao qian2? ;How much money did you make?;7
236;你喜欢香港吗？;ni3 xi3 huan xiang1 gang3 ma?! ;How do you like Hong Kong?;7
237;祝您新年快乐！;zhu4 nin2 xin1 nian2 kuai4 le4! ;A happy new year to you!;7
238;明天上午行吗?;ming2 tian1 shang4 wu3 xing4 ma? ;Is tomorrow morning any good?;7
239;对不起；请原谅;"dui4 bu4 qi3; qing3 yuan2 liang4 ";I beg your pardon.;7
240;她拍落几绺头发;ta1 pai1 luo4 ji3 liu3 tou2 fa! ;She patted down a few wisps of hair.;7
241;谁迟到谁倒霉！;shei2 chi2 dao4 shei2 dao3 mei2! ;Woe betide anyone who arrives late!;7
242;出国要多少钱？;chu1 guo2 yao4 duo1 shao qian2? ;How much does it cost to go abroad?;7
243;池塘里有些芦苇;chi2 tang2 li3 you3 xie1 lu2 wei3 ;There are some reeds in the pond.;7
244;久旱使青草枯萎;jiu3 han4 shi3 qing1 cao3 ku1 wei3 ;The long drought scorched the grass.;7
245;卸货需要多久？;xie4 huo4 xu1 yao4 duo1 jiu3? ;How long will the discharge of the cargo take?;7
246;我们是六点出发的;wo3 men shi4 liu4 dian3 chu1 fa1 de! ;We started at six.;8
247;我们喝了一些鸡汤;wo3 men he4 le yi1 xie1 ji1 tang1 ;We had some chicken soup.;8
248;五加三的总和是八;wu3 jia1 san1 de zong3 he2 shi4 ba1 ;The sum of 5 and 3 is 8.;8
249;他极为大家所爱戴;ta1 ji2 wei2 da4 jia1 suo3 ai4 dai4 ;He is held in affection.;8
250;他的物理学得很好;ta1 de wu4 li3 xue2 de hen3 hao4 ;He does well in physics.;8
251;我不知道该怎么办;wo3 bu4 zhi1 dao4 gai1 zen3 me ban4 ;I have no idea what to do.;8
252;那孩子将满六岁了;na4 hai2 zi jiang4 man3 liu4 sui4 le ;The child will be six.;8
253;我认为我考得不错;wo3 ren4 wei2 wo3 kao3 de bu4 cuo4! ;I think I did OK in the exam.;8
254;我们必须重新开始;wo3 men bi4 xu1 chong2 xin1 kai1 shi3 ;We must make a new start.;8
255;她一大早就起床了;ta1 yi1 da4 zao3 jiu4 qi3 chuang2 le ;She rose with the lark.;8
256;我和她长谈了一次;wo3 huo4 ta1 chang2 tan2 le yi1 ci4 ;I had a long talk with her.;8
257;三的立方是二十七;san1 de li4 fang1 shi4 er4 shi2 qi1 ;Three cubed is twenty-seven.;8
258;我今天的心情不好;wo3 jin1 tian1 de xin1 qing2 bu4 hao3 ;I'm feeling blue today.;8
259;不会发很多时间的;bu4 hui4 fa4 hen3 duo1 shi2 jian1 de ;It won't take much time.;8
260;我很愿意。谢谢你;wo3 hen3 yuan4 yi4. xie4 xie ni3;I do very much! Thank you.;8
261;你说的话没有道理;ni3 shuo1 de hua4 mei2 you3 dao4 li3! ;What you say makes no sense.;8
262;向你的孩子们问好;xiang4 ni3 de hai2 zi men wen4 hao3 ;Give my love to your kids.;8
263;那顿饭简直好极了;na4 dun4 fan4 jian3 zhi2 hao4 ji2 le ;That meal was simply divine!;8
264;很高兴再次见到你;hen3 gao1 xing4 zai4 ci4 xian4 dao4 ni3 ;I'm glad to see you again.;8
265;这完全是你的过错;zhe4 wan2 quan2 shi4 ni3 de guo4 cuo4 ;It's your fault entirely.;8
266;这对我没什么差别;zhe4 dui4 wo3 mo4 shen2 me cha1 bie2 ;It makes no difference to me.;8
267;他的病让我急死了;ta1 de bing4 rang4 wo3 ji2 si3 le ;I'm worried sick by his illness.;8
268;新年期间我去看你;xin1 nian2 qi1 jian1 wo3 qu4 kan4 ni3! ;I'll see you in the new year.;8
269;我不明白你的意思;wo3 bu4 ming2 bai2 ni3 de yi4 si ;I can't apprehend your meaning.;8
270;我的手表走时准确;wo3 de shou3 biao3 zou3 shi2 zhun3 que4 ;My watch keeps good time.;8
271;我们游遍全国各地;wo3 men you2 bian4 quan2 guo2 ge4 di4! ;We travelled all over the country.;8
272;这听上去挺不错的;zhe4 ting4 shang4 qu4 ting3 bu4 cuo4 de ;It sounds quite all right.;8
273;我想预定一个房间;wo3 xiang3 yu4 ding4 yi1 ge4 fang2 jian1 ;I want to reserve a room.;8
274;她把头发拍整齐了;ta1 ba3 tou2 fa4 pai1 zheng3 qi2 le! ;She patted her hair into place/shape.;8
275;他是一个数学天才;ta1 shi4 yi1 ge4 shu4 xue2 tian1 cai2 ;He is a mathematical genius.;8
276;我最近没有看到他;wo3 zui4 jin4 mei2 you3 kan4 dao4 ta1 ;I haven't seen him recently.;8
277;男孩很快地跑上楼;nan2 hai2 hen3 kuai4 de pao3 shang4 lou2 ;The boy ran upstairs quickly.;8
278;她在一所中学学习;ta1 zai4 yi1 suo3 zhong1 xue2 xue2 xi2 ;She studies in a high school.;8
279;发言共占去三小时;fa1 yan2 gong4 zhan4 qu4 san1 xiao3 shi2! ;The speeches occupied three hours.;8
280;这些药对你有好处;zhe4 xie yao4 dui4 ni3 you3 hao3 chu ;This medicine will do you good.;8
281;这次考试比较容易;zhe4 ci4 kao3 shi4 bi3 jiao4 rong2 yi4 ;The exam was relatively easy.;8
282;四月是种树的时候;si4 yue4 shi4 zhong4 shu4 de shi2 hou ;April is the time to plant trees.;8
283;今天暖和一点儿了;jin1 tian1 nuan3 huo2 yi1 dianr3 le! ;The weather is a bit warmer today.;8
284;我想买一个新床单;wo3 xiang3 mai3 yi1 ge4 xin1 chuang2 dan1 ;I want to buy a new bed linen.;8
285;房间里挤满了客人;fang2 jian1 li3 ji3 man3 le ke4 ren ;The room was crowded with guests.;8
286;日本在中国的东面;Ri4 ben3 zai4 Zhong1 guo2 de dong1 mian4 ;Japan lies to the east of China.;8
287;他假装没有听见我;ta1 jia3 zhuang1 mei2 you3 ting1 jian4 wo3 ;He affected not to hear me.;8
288;我的爱人很会做饭;wo3 de ai4 ren hen3 kuai4 zuo4 fan4 ;My wife is very useful at cooking.;8
289;没有人想碰到麻烦;mei2 you3 ren2 xiang3 peng4 dao4 ma2 fan ;No one liked to have trouble.;8
290;他了解人民的意向;ta1 liao3 jie3 ren2 min2 de yi4 xiang4 ;He knew the pulse of the people.;8
291;直到他来我才离开;zhi2 dao4 ta1 lai2 wo3 cai2 li2 kai1 ;It was not until he came that I left.;8
292;那位技师技术很好;na4 wei4 ji4 shi1 ji4 shu4 hen3 hao3 ;That technician is highly skilled.;8
293;现代的人想法不同;xian4 dai4 de ren2 xiang3 fa3 bu4 tong2 ;People today think differently.;8
294;他在一所中学工作;ta1 zai4 yi1 suo3 zhong1 xue2 gong1 zuo4 ;He works in a secondary school.;8
295;他们正在准备考试;ta1 men zheng4 zai4 zhun3 bei4 kao3 shi4 ;They were girding for the exam.;8
