Line;Chinese;Pinyin;Translation;NumberOfWords
53;他比我大两岁;ta1 bi4 wo3 da4 liang3 sui4 ;He is my senior by two years.;6
54;这对我正合适;zhe4 dui4 wo3 zheng4 he2 shi4 ;That suits me all right.;6
55;这方便得多了;zhe4 fang1 bian4 de duo1 le ;It's much more convenient.;6
56;我每天早上刮脸;wo3 mei3 tian1 zao3 shang gua1 lian3! ;I shave every morning.;7
57;下周学校复课;xia4 zhou1 xue2 xiao4 fu4 ke4 ;School reopens next week.;6
58;我看你不应该;wo3 kan4 ni3 bu4 ying1 gai1 ;I don't think you ought to.;6
59;祝你生日快乐;zhu4 ni3 sheng1 ri4 kuai4 le4 ;I wish you a happy birthday.;6
60;你得等一等看;ni3 de deng3 yi1 deng3 kan4 ;You will have to wait and see.;6
61;你过来试试看;ni3 guo4 lai shi4 shi4 kan4 ;Come on over to have a try.;6
62;我们是六点出发的;wo3 men shi4 liu4 dian3 chu1 fa1 de! ;We started at six.;8
63;他紧握她的手;ta1 jin3 wo4 ta1 de shou3 ;He held her hand in a firm clasp.;6
64;我把袜子穿破了;wo3 ba3 wa4 zi chuan1 po4 le! ;I've worn holes in my socks.;7
65;现在五点差一刻;xian4 zai4 wu3 dian3 ci1 yi1 ke4 ;It is a quarter to five.;7
66;布已经打成包;bu4 yi3 jing1 da3 cheng2 bao1 ;The cloth was packed in bales.;6
67;迟到总比不到好;chi2 dao4 zong3 bi4 bu4 dao4 hao4 ;Better late than never.;7
68;我知道那种感觉;wo3 zhi1 dao4 na4 zhong4 gan3 jue2 ;I know the feeling.;7
69;她有着细长的腿;ta1 you3 zhe xi4 chang2 de tui3 ;She has long thin shanks.;7
70;农作物需要雨水;nong2 zuo4 wu4 xu1 yao4 yu3 shui3 ;The crops need rain.;7
71;你只是说说而已;ni3 zhi3 shi4 shuo1 shuo1 er2 yi3 ;You are just saying that.;7
72;向你全家问好;xiang4 ni3 quan2 jia1 wen4 hao3 ;Remember me to your family.;6
73;这是常有的事;zhe4 shi4 chang2 you3 de shi4 ;These things happen all the time.;6
74;大家别同时说;da4 jia1 bie4 tong2 shi2 shuo1! ;Don't all speak at the same time.;6
75;有了它真是方便;you3 le ta1 zhen1 shi4 fang1 bian4 ;It really comes in handy.;7
76;我很想吃饺子;wo3 hen3 xiang3 ji2 jiao3 zi ;I feel like having some dumplings.;6
77;我明天晚上来;wo3 ming2 tian1 wan3 shang lai2! ;I'll come round tomorrow evening.;6
78;他发烧满脸通红;ta1 fa1 shao1 man3 lian3 tong1 hong2! ;Fever flushed his cheeks.;7
79;我非常感谢您;wo3 fei1 chang2 gan3 xie4 nin2 ;I'm extremely grateful to you.;6
80;我在街上遇到他;wo3 zai4 jie1 shang4 yu4 dao4 ta1 ;I met him in the street.;7
81;你应该去看医生;ni3 ying1 gai1 qu4 kan4 yi1 sheng1 ;You should see a doctor.;7
82;这星期他会很忙;zhe4 xing1 qi1 ta1 kuai4 hen3 mang2 ;He is very busy this week.;7
83;我们喝了一些鸡汤;wo3 men he4 le yi1 xie1 ji1 tang1 ;We had some chicken soup.;8
84;他是一个高大的男孩;ta1 shi4 yi1 ge4 gao1 da4 de nan2 hai2 ;He is a tall boy.;9
85;五加三的总和是八;wu3 jia1 san1 de zong3 he2 shi4 ba1 ;The sum of 5 and 3 is 8.;8
86;我的数学不太好;wo3 de shu4 xue2 bu4 tai4 hao4 ;I am not good at mathematics.;7
87;他极为大家所爱戴;ta1 ji2 wei2 da4 jia1 suo3 ai4 dai4 ;He is held in affection.;8
88;那部影片很叫座;na4 bu4 ying3 pian4 hen3 jiao4 zuo4 ;That film was a great draw.;7
89;他的物理学得很好;ta1 de wu4 li3 xue2 de hen3 hao4 ;He does well in physics.;8
90;我的表慢五分钟;wo3 de biao3 man4 wu3 fen1 zhong1 ;My watch is five minutes slow.;7
91;好像要下雨了;hao3 xiang4 yao4 xia4 yu3 le ;It looks as if it is going to rain.;6
92;我教她骑自行车;wo3 jiao4 ta1 qi2 zi4 xing2 che1 ;I taught her to ride a bicycle.;7
93;我不知道该怎么办;wo3 bu4 zhi1 dao4 gai1 zen3 me ban4 ;I have no idea what to do.;8
94;那孩子将满六岁了;na4 hai2 zi jiang4 man3 liu4 sui4 le ;The child will be six.;8
95;这只是时间问题;zhe4 zhi3 shi4 shi2 jian1 wen4 ti2 ;It's only a matter of time.;7
96;我认为我考得不错;wo3 ren4 wei2 wo3 kao3 de bu4 cuo4! ;I think I did OK in the exam.;8
97;这孩子身上发烧;zhe4 hai2 zi shen1 shang4 fa1 shao1! ;The child's body felt feverish.;7
98;她是工业设计师;ta1 shi4 gong1 ye4 she4 ji4 shi1 ;She is an industrial designer.;7
99;我们必须重新开始;wo3 men bi4 xu1 chong2 xin1 kai1 shi3 ;We must make a new start.;8
100;我们确信能胜利;wo3 men que4 xin4 neng2 sheng4 li4 ;We are confident of victory.;7
101;她总穿着黑衣服;ta1 zong3 chuan1 zhuo2 hei1 yi1 fu ;She always dresses in black.;7
102;她一大早就起床了;ta1 yi1 da4 zao3 jiu4 qi3 chuang2 le ;She rose with the lark.;8
103;我和她长谈了一次;wo3 huo4 ta1 chang2 tan2 le yi1 ci4 ;I had a long talk with her.;8
104;三的立方是二十七;san1 de li4 fang1 shi4 er4 shi2 qi1 ;Three cubed is twenty-seven.;8
105;我今天的心情不好;wo3 jin1 tian1 de xin1 qing2 bu4 hao3 ;I'm feeling blue today.;8
106;我将等到四点钟;wo3 jiang4 deng3 dao4 si4 dian3 zhong1 ;I'll wait till four o'clock.;7
107;你把帽子戴反了;ni3 ba3 mao4 zi dai4 fan3 le ;You have put your hat on backwards.;7
108;不会发很多时间的;bu4 hui4 fa4 hen3 duo1 shi2 jian1 de ;It won't take much time.;8
109;我很愿意。谢谢你;wo3 hen3 yuan4 yi4. xie4 xie ni3;I do very much! Thank you.;8
110;你说的话没有道理;ni3 shuo1 de hua4 mei2 you3 dao4 li3! ;What you say makes no sense.;8
111;她喜欢各种运动;ta1 xi3 huan ge4 zhong3 yun4 dong4 ;She likes all kinds of sports.;7
112;她从不穿绿色的衣服;ta1 cong2 bu4 chuan1 lu:4 se4 de yi1 fu ;She never wears green.;9
113;向你的孩子们问好;xiang4 ni3 de hai2 zi men wen4 hao3 ;Give my love to your kids.;8
114;那顿饭简直好极了;na4 dun4 fan4 jian3 zhi2 hao4 ji2 le ;That meal was simply divine!;8
115;马在路上小跑着;ma3 zai4 lu4 shang xiao3 pao3 zhuo2 ;The horse trotted down the road.;7
116;我看到他就高兴;wo3 kan4 dao4 ta1 jiu4 gao1 xing4 ;I never see him but I am happy.;7
117;他有早起的习惯;ta1 you3 zao3 qi3 de xi2 guan4 ;He is in the habit of rising early.;7
118;很高兴再次见到你;hen3 gao1 xing4 zai4 ci4 xian4 dao4 ni3 ;I'm glad to see you again.;8
119;这完全是你的过错;zhe4 wan2 quan2 shi4 ni3 de guo4 cuo4 ;It's your fault entirely.;8
120;认识从实践开始;ren4 shi zong4 shi2 jian4 kai1 shi3 ;Knowledge begin with practice.;7
121;这对我没什么差别;zhe4 dui4 wo3 mo4 shen2 me cha1 bie2 ;It makes no difference to me.;8
122;老人快步走开了;lao3 ren2 kuai4 bu4 zou3 kai1 le ;The old man set off at a quick trot.;7
123;他的病让我急死了;ta1 de bing4 rang4 wo3 ji2 si3 le ;I'm worried sick by his illness.;8
124;新年期间我去看你;xin1 nian2 qi1 jian1 wo3 qu4 kan4 ni3! ;I'll see you in the new year.;8
125;她一直想成名;ta1 yi1 zhi2 xiang3 cheng2 ming2 ;She has always been desirous of fame.;6
126;我不明白你的意思;wo3 bu4 ming2 bai2 ni3 de yi4 si ;I can't apprehend your meaning.;8
127;只剩下一听肉了;zhi3 sheng4 xia4 yi1 ting4 rou4 le ;There is only one can of meat left.;7
128;医生一会儿就到;yi1 sheng1 yi1 huir4 jiu4 dao4 ;The doctor will be here presently.;7
129;我的手表走时准确;wo3 de shou3 biao3 zou3 shi2 zhun3 que4 ;My watch keeps good time.;8
130;我跳舞一点儿也不行;wo3 tiao4 wu3 yi1 dianr3 ye3 bu4 xing4 ;I'm no good at dancing.;9
131;我们游遍全国各地;wo3 men you2 bian4 quan2 guo2 ge4 di4! ;We travelled all over the country.;8
132;这听上去挺不错的;zhe4 ting4 shang4 qu4 ting3 bu4 cuo4 de ;It sounds quite all right.;8
133;我知道发生了什么事;wo3 zhi1 dao4 fa1 sheng1 le shen2 me shi4 ;I know what happened.;9
134;我的日语相当差;wo3 de ri4 yu3 xiang1 dang1 ci1 ;My knowledge of Japanese is rather poor.;7
135;我想预定一个房间;wo3 xiang3 yu4 ding4 yi1 ge4 fang2 jian1 ;I want to reserve a room.;8
136;她把头发拍整齐了;ta1 ba3 tou2 fa4 pai1 zheng3 qi2 le! ;She patted her hair into place/shape.;8
137;他是一个数学天才;ta1 shi4 yi1 ge4 shu4 xue2 tian1 cai2 ;He is a mathematical genius.;8
138;我最近没有看到他;wo3 zui4 jin4 mei2 you3 kan4 dao4 ta1 ;I haven't seen him recently.;8
139;要么进来,要么出去;yao4 me jin4 lai2 yao4 me chu1 qu4 ;Either come in or go out.;9
140;从前有一个公主;cong2 qian2 you3 yi1 ge4 gong1 zhu3! ;Once upon a time there was a princess.;7
141;我只想说对不起;wo3 zhi3 xiang3 shuo1 dui4 bu4 qi3 ;I want to say nothing but sorry.;7
142;男孩很快地跑上楼;nan2 hai2 hen3 kuai4 de pao3 shang4 lou2 ;The boy ran upstairs quickly.;8
143;我解答不了这个难题;wo3 jie3 da2 bu4 liao3 zhe4 ge4 nan2 ti2 ;I can't solve the problem.;9
144;她在一所中学学习;ta1 zai4 yi1 suo3 zhong1 xue2 xue2 xi2 ;She studies in a high school.;8
145;发言共占去三小时;fa1 yan2 gong4 zhan4 qu4 san1 xiao3 shi2! ;The speeches occupied three hours.;8
146;我的头发长得很长了;wo3 de tou2 fa zhang3 de hen3 zhang3 le ;My hair has grown very long.;9
147;这些药对你有好处;zhe4 xie yao4 dui4 ni3 you3 hao3 chu ;This medicine will do you good.;8
148;这次考试比较容易;zhe4 ci4 kao3 shi4 bi3 jiao4 rong2 yi4 ;The exam was relatively easy.;8
149;这是一个寒冷的早晨;zhe4 shi4 yi1 ge4 han2 leng3 de zao3 chen2 ;It's a chilly morning.;9
150;四月是种树的时候;si4 yue4 shi4 zhong4 shu4 de shi2 hou ;April is the time to plant trees.;8
151;教堂在学校附近;jiao4 tang2 zai4 xue2 xiao4 fu4 jin4 ;The church is close to the school.;7
152;今天暖和一点儿了;jin1 tian1 nuan3 huo2 yi1 dianr3 le! ;The weather is a bit warmer today.;8
153;星期日是我休息的日子;xing1 qi1 ri4 shi4 wo3 xiu1 xi de ri4 zi ;Sunday is my rest day.;10
154;那条河长300公里;na4 tiao2 he2 zhang3003 gong1 li3 ;The river is 300 kilometers in length.;9
155;嗯,但是你必须等我;en1 dan4 shi4 ni3 bi4 xu1 deng3 wo3 ;Mmm, but you must wait for me.;9
156;我母亲已经五十岁了;wo3 mu3 qin1 yi3 jing1 wu3 shi2 sui4 le ;My mother is fifty years old.;9
157;我想买一个新床单;wo3 xiang3 mai3 yi1 ge4 xin1 chuang2 dan1 ;I want to buy a new bed linen.;8
158;房间里挤满了客人;fang2 jian1 li3 ji3 man3 le ke4 ren ;The room was crowded with guests.;8
159;他提出了一种新理论;ta1 ti2 chu1 le yi1 zhong4 xin1 li3 lun4 ;He put forward a new theory.;9
160;我不知道确切的日子;wo3 bu4 zhi1 dao4 que4 qie4 de ri4 zi ;I don't know the exact date.;9
161;我有一辆红色的自行车;wo3 you3 yi1 liang4 hong2 se4 de zi4 xing2 che1 ;I have a red bike.;10
162;日本在中国的东面;Ri4 ben3 zai4 Zhong1 guo2 de dong1 mian4 ;Japan lies to the east of China.;8
163;他假装没有听见我;ta1 jia3 zhuang1 mei2 you3 ting1 jian4 wo3 ;He affected not to hear me.;8
164;那儿有些彩色的气球;na4 r you3 xie1 cai3 se4 de qi4 qiu2 ;There are some color balloons.;9
165;我的爱人很会做饭;wo3 de ai4 ren hen3 kuai4 zuo4 fan4 ;My wife is very useful at cooking.;8
166;她正找电灯开关;ta1 zheng4 zhao3 dian4 deng1 kai1 guan1 ;She is fumbling the light switch.;7
167;没有人想碰到麻烦;mei2 you3 ren2 xiang3 peng4 dao4 ma2 fan ;No one liked to have trouble.;8
168;他了解人民的意向;ta1 liao3 jie3 ren2 min2 de yi4 xiang4 ;He knew the pulse of the people.;8
169;直到他来我才离开;zhi2 dao4 ta1 lai2 wo3 cai2 li2 kai1 ;It was not until he came that I left.;8
170;我深爱我的祖国;wo3 shen1 ai4 wo3 de zu3 guo2 ;I love my country with every fiber of my being.;7
171;我儿子上小学三年级;wo3 er2 zi shang4 xiao3 xue2 san1 nian2 ji2! ;My son's in the third grade.;9
172;她的故事使我很感动;ta1 de gu4 shi4 shi3 wo3 hen3 gan3 dong4 ;I was very moved by her story.;9
173;他能跑得和我一样快;ta1 neng2 pao3 de huo4 wo3 yi2 yang4 kuai4 ;He can run as fast as I can.;9
174;那位技师技术很好;na4 wei4 ji4 shi1 ji4 shu4 hen3 hao3 ;That technician is highly skilled.;8
175;现代的人想法不同;xian4 dai4 de ren2 xiang3 fa3 bu4 tong2 ;People today think differently.;8
176;他在一所中学工作;ta1 zai4 yi1 suo3 zhong1 xue2 gong1 zuo4 ;He works in a secondary school.;8
177;这大概正是我要做的;zhe4 da4 gai4 zheng4 shi4 wo3 yao4 zuo4 de ;Maybe that's what I'll do.;9
178;当我像你这样年纪时..;dang4 wo3 xiang4 ni3 zhe4 yang4 nian2 ji4 shi..2! ;When I was your age...;11
179;他们正在准备考试;ta1 men zheng4 zai4 zhun3 bei4 kao3 shi4 ;They were girding for the exam.;8
180;门一开, 她走了进来;men2 yi1 kai1 ta1 zou3 le jin4 lai2 ;The door opened and she came in.;10
181;我十二点出去吃午饭;wo3 shi2 er4 dian3 chu1 qu4 ji2 wu3 fan4 ;I go out for lunch at twelve.;9
182;我必须立刻开始工作;wo3 bi4 xu1 li4 ke4 kai1 shi3 gong1 zuo4 ;I must start working at once.;9
183;他的痛苦现在已经过去;ta1 de tong4 ku3 xian4 zai4 yi3 jing1 guo4 qu ;His pain is past now.;10
184;他只是一个三岁的孩子;ta1 zhi3 shi4 yi1 ge4 san1 sui4 de hai2 zi ;He is only a child of three.;10
185;我正准备打电话给你;wo3 zheng4 zhun3 bei4 da3 dian4 hua4 ji3 ni3 ;I was just about to call you.;9
186;我累得再也走不动了;wo3 lei4 de zai4 ye3 zou3 bu4 dong4 le ;I was too tired to walk any further.;9
187;我昨天买了好几本书;wo3 zuo2 tian1 mai3 le hao3 ji3 ben3 shu1 ;I bought several books yesterday.;9
188;一小时之内我就会到;yi1 xiao3 shi2 zhi1 nei4 wo3 jiu4 kuai4 dao4 ;I'll be coming within an hour.;9
189;那事已提前安排好了;na4 shi4 yi3 ti2 qian2 an1 pai2 hao4 le ;It had been arranged beforehand.;9
190;晚饭时他吃了一些米饭;wan3 fan4 shi2 ta1 ji2 le yi1 xie1 mi3 fan4 ;He had some rice for supper.;10
191;今天看上去是个晴天;jin1 tian1 kan4 shang4 qu4 shi4 ge4 qing2 tian1 ;Looks like a fine day today.;9
192;每个人都是注定要死的;mei3 ge4 ren2 dou1 shi4 zhu4 ding4 yao4 si3 de ;Everyone is doomed to die.;10
193;吃饭前,我必须洗手;chi1 fan4 qian2 wo3 bi4 xu1 xi3 shou3 ;I must wash my hands before dinner.;9
194;在这河里游泳危险;zai4 zhe4 he2 li3 you2 yong3 wei1 xian3 ;This river is dangerous to bathe in.;8
195;我确实很好,谢谢您;wo3 que4 shi2 hen3 hao3 xie4 xie nin2 ;I'm very well indeed, thank you.;9
196;代我向你们全家问好;dai4 wo3 xiang4 ni3 men quan2 jia1 wen4 hao3 ;Give my best to your family.;9
197;春雨带来了夏日百花;chun1 yu3 dai4 lai2 le xia4 ri4 bai3 hua1 ;Spring rains bring summer flowers.;9
198;这是本有教育意义的书;zhe4 shi4 ben3 you3 jiao4 yu4 yi4 yi4 de shu1 ;This is an instructive book.;10
199;孩子们喜欢户外活动;hai2 zi men xi3 huan hu4 wai4 huo2 dong4 ;Children like outdoor activities.;9
200;许多灯照亮了街道;xu3 duo1 deng1 zhao4 liang4 le jie1 dao4 ;The street is illumined by many lights.;8
201;你说的有几分是真实的;ni3 shuo1 de you3 ji3 fen4 shi4 zhen1 shi2 de ;What you say is partly true.;10
202;不要把过去的事都翻出来;bu4 yao4 ba3 guo4 qu de shi4 dou1 fan1 chu1 lai ;Don't rake up the past.;11
203;她会说日语和英语;ta1 kuai4 shuo1 ri4 yu3 huo4 Ying1 yu3 ;She can speak Japanese as well as English.;8
204;他到十一点才回家;ta1 dao4 shi2 yi1 dian3 cai2 hui2 jia1 ;Not until eleven o'clock did he come home.;8
205;那男孩忽然哭了起来;na4 nan2 hai2 hu1 ran2 ku1 le qi3 lai ;The boy began crying all of a sudden.;9
206;我们正向家的方向走去;wo3 men zheng4 xiang4 jia1 de fang1 xiang4 zou3 qu4 ;We are heading home.;10
207;她离开一个多钟头了;ta1 li2 kai1 yi1 ge4 duo1 zhong1 tou2 le! ;She left little more than an hour ago.;9
208;他是一个体育运动爱好者;ta1 shi4 yi1 ge4 ti3 yu4 yun4 dong4 ai4 hao4 zhe3 ;He is a sports buff.;11
209;气候影响了他的健康;qi4 hou4 ying3 xiang3 le ta1 de jian4 kang1 ;The climate affected his health.;9
210;我喜欢在图书馆学习;wo3 xi3 huan zai4 tu2 shu1 guan3 xue2 xi2 ;I like to study in the library.;9
211;你完全误解了我的意思;ni3 wan2 quan2 wu4 jie3 le wo3 de yi4 si ;You mistook my meaning entirely.;10
212;在那个班里我跟不上;zai4 nei4 ge4 ban1 li3 wo3 gen1 bu4 shang4 ;I was out of my depth in that class.;9
213;我的钟一定是坏了;wo3 de zhong1 yi1 ding4 shi4 huai4 le ;There must be something wrong with my clock.;8
214;天有点阴,可能下雨;tian1 you3 dian3 yin1 ke3 neng2 xia4 yu3 ;"""It's a bit overcast; it might rain.""";9
215;我已经校对完二十页了;wo3 yi3 jing1 xiao4 dui4 wan2 er4 shi2 ye4 le ;I have proofread twenty pages.;10
216;她是饭店的女服务员;ta1 shi4 fan4 dian4 de nu:3 fu2 wu4 yuan2 ;She is a waitress in a restaurant.;9
217;再见了,很高兴见到你;zai4 jian4 le hen3 gao1 xing4 xian4 dao4 ni3 ;Good-bye!###Nice seeing you.;10
218;事故发生在六点钟;shi4 gu4 fa1 sheng1 zai4 liu4 dian3 zhong1 ;The accident happened at six o'clock.;8
219;他们六时来的, 九时走的;ta1 men liu4 shi2 lai2 de jiu3 shi2 zou3 de! ;They came at six and went at nine.;12
220;我们说服她参加了宴会;wo3 men shuo1 fu2 ta1 can1 jia1 le yan4 hui4 ;We argued her into joining us.;10
221;我不知道该从哪里着手;wo3 bu4 zhi1 dao4 gai1 zong4 na3 li zhu1 shou3 ;I don't know where to begin.;10
222;这是为了对她自己有好处;zhe4 shi4 wei4 le dui4 ta1 zi4 ji3 you3 hao3 chu ;It is for her own good.;11
223;他住在学校的宿舍里;ta1 zhu4 zai4 xue2 xiao4 de su4 she4 li3 ;He hangs out in the school dormitory.;9
224;我的新家在第十六层;wo3 de xin1 jia1 zai4 di4 shi2 liu4 ceng2 ;My new house is on the sixteenth floor.;9
225;这座桥现在可以通行;zhe4 zuo4 qiao2 xian4 zai4 ke3 yi3 tong1 xing2 ;The bridge is now open to traffic.;9
226;他一句中文都不会说;ta1 yi1 ju4 Zhong1 wen2 dou1 bu4 hui4 shuo1 ;He couldn't talk a word of Chinese.;9
227;她把我介绍给她的朋友;ta1 ba3 wo3 jie4 shao4 ji3 ta1 de peng2 you ;She introduced me to her friend.;10
228;我很少听见他讲汉语;wo3 hen3 shao3 ting1 jian4 ta1 jiang3 Han4 yu3 ;I seldom hear he speaks Chinese.;9
229;我只懂得一点法语;wo3 zhi3 dong3 de yi1 dian3 fa3 yu3 ;I have only a limited understanding of French.;8
230;他笑着告诉我这个消息;ta1 xiao4 zhuo2 gao4 su wo3 zhe4 ge4 xiao1 xi ;He told me the news with a laugh.;10
231;马车夫的工作非常辛苦;ma3 che1 fu1 de gong1 zuo4 fei1 chang2 xin1 ku3 ;Wagoner's work is very hard.;10
232;她提出把汽车借给我用;ta1 ti2 chu1 ba3 qi4 che1 jie4 ji3 wo3 yong4 ;She offered me the loan of her car.;10
233;我们在图书馆外边见面;wo3 men zai4 tu2 shu1 guan3 wai4 bian jian4 mian4! ;Let's meet outside the library.;10
234;你和你姐姐都这么说;ni3 huo4 ni3 jie3 jie dou1 zhe4 me shuo1 ;You and your sister said so yourselves.;9
235;他说服女儿改变主意;ta1 shuo1 fu2 nu:3 er2 gai3 bian4 zhu3 yi! ;He persuaded his daughter to change her mind.;9
236;这棵苹果树很少结果;zhe4 ke1 ping2 guo3 shu4 hen3 shao3 jie2 guo3 ;The apple tree is seldom fruitful.;9
237;他欢喜得说不出来;ta1 huan1 xi3 de shuo1 bu4 chu1 lai ;In the fullness of his joy, he could hardly speak.;8
238;她将我介绍给她的父母;ta1 jiang4 wo3 jie4 shao4 ji3 ta1 de fu4 mu3 ;She introduced me to her parents.;10
239;我们都关心她的健康;wo3 men dou1 guan1 xin1 ta1 de jian4 kang1 ;We are all concerned about her health.;9
240;已经出现了一些问题;yi3 jing1 chu1 xian4 le yi1 xie1 wen4 ti2! ;A number of (i.e. some) problems have arisen.;9
241;那个学生昨天丢了书;nei4 ge4 xue2 sheng zuo2 tian1 diu1 le shu1 ;That student lost his book yesterday.;9
242;当父母可是件辛苦的事;dang4 fu4 mu3 ke3 shi4 jian4 xin1 ku3 de shi4 ;Being a parent can be hard work.;10
243;他去邮局买些邮票;ta1 qu4 you2 ju2 mai3 xie1 you2 piao4 ;He went to the post-office to buy some stamps.;8
244;书页因年久而变黄;shu1 ye4 yin1 nian2 jiu3 er2 bian4 huang2 ;The leaves of the book had yellowed with age.;8
245;领导做了英明的决定;ling3 dao3 zuo4 le ying1 ming2 de jue2 ding4 ;The leader made a sagacious decision.;9
246;让我们友好地谈话;rang4 wo3 men you3 hao3 de tan2 hua4 ;Let's keep the conversation on a friendly plane.;8
247;星期日是一周的第一天;xing1 qi1 ri4 shi4 yi1 zhou1 de di4 yi1 tian1 ;Sunday is the first day of the week.;10
248;他的意见没多少影响;ta1 de yi4 jian4 mo4 duo1 shao ying3 xiang3 ;His opinion doesn't carry much weight.;9
249;你双手手指的总数是10;ni3 shuang1 shou3 shou3 zhi3 de zong3 shu4 shi401 ;The number of your finger is ten.;11
250;只要天一放晴,我们就去;zhi3 yao4 tian1 yi1 fang4 qing2 wo3 men jiu4 qu4 ;If only it clears up, we'll go.;11
251;全校在大礼堂集合;quan2 xiao4 zai4 da4 li3 tang2 ji2 he2! ;The whole school (was) assembled in the main hall.;8
252;他住在一个舒适的小屋里;ta1 zhu4 zai4 yi1 ge4 shu1 shi4 de xiao3 wu1 li3 ;He lives in a cozy little room.;11
253;他给她叫了一辆出租汽车;ta1 ji3 ta1 jiao4 le yi1 liang4 chu1 zu1 qi4 che1 ;He called her a taxi.;11
254;请原谅我的字写得不好;qing3 yuan2 liang4 wo3 de zi4 xie3 de bu4 hao3 ;Please excuse my bad handwriting.;10
